"CAS No.","Chemical Name","Species Name","Common Name","Effect","Measurement","Endpoint","Dur (Std)","Conc. Type","Conc. Mean (Std)","Conc. Units (Std)","Pub. Year","Citation"
"57636","17alpha-Ethinylestradiol","Mus musculus","House Mouse","Mortality","Mortality","NR-ZERO","140","Active ingredient","0.001","AI mg/kg bdwt","2014","Jin,Y., X. Lin, W. Miao, T. Wu, H. Shen, S. Chen, Y. Li, Q. Pan, and Z. Fu. Chronic Exposure of Mice to Environmental Endocrine-Disrupting Chemicals Disturbs Their Energy Metabolism. Toxicol. Lett.225(3): 392-400, 2014. ECOREF #165341"
"50022","Dexamethasone","Rattus norvegicus","Norway Rat","Mortality","Mortality","NR-ZERO","5","Formulation","0.6","AI mg/kg bdwt","2014","Rogers,J.M., R.G. Ellis-Hutchings, B.E. Grey, R.M. Zucker, J.,Jr. Norwood, C.E. Grace, C.J. Gordon, and C. Lau. Elevated Blood Pressure in Offspring of Rats Exposed to Diverse Chemicals During Pregnancy. Toxicol. Sci.137(2): 436-446, 2014. ECOREF #166444"
"58899","Lindane","Ovis aries","Domestic Sheep","Mortality","Mortality","NR","252","Formulation","1","AI mg/kg bdwt","1999","Beard,A.P., P.M. Bartlewski, and N.C. Rawlings. Endocrine and Reproductive Function in Ewes Exposed to the Organochlorine Pesticides Lindane or Pentachlorophenol. J. Toxicol. Environ. Health Part A56(1): 23-46, 1999. ECOREF #61477"
"1403663","Gentamycin","Mesocricetus auratus","Golden Hamster","Mortality","Mortality","NR-LETH","19","Formulation","1","AI mg/kg bdwt","1978","Bartlett,J.G., T.W. Chang, N. Moon, and A.B. Onderdonk. Antibiotic-Induced Lethal Enterocolitis in Hamsters: Studies with Eleven Agents and Evidence to Support the Pathogenic Role of Toxin-Producing Clostridia. Am. J. Vet. Res.39(9): 1525-1530, 1978. ECOREF #161529"
"50022","Dexamethasone","Mus musculus","House Mouse","Mortality","Mortality","NR-ZERO","28","Formulation","2","AI mg/kg bdwt","2013","Badgujar,P.C., S.K. Jain, A. Singh, J.S. Punia, R.P. Gupta, and G.A. Chandratre. Immunotoxic Effects of Imidacloprid Following 28 Days of Oral Exposure in BALB/c Mice. Environ. Toxicol. Pharmacol.35(3): 408-418, 2013. ECOREF #169034"
"81812","Warfarin","Rattus rattus","Black Rat","Mortality","Mortality","NOEL","5","Active ingredient","2.1","AI mg/kg food","1992","U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
"81812","Warfarin","Rattus rattus","Black Rat","Mortality","Mortality","NOEL","5","Active ingredient","2.1","AI mg/kg food","1992","U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
"81812","Warfarin","Rattus rattus","Black Rat","Mortality","Mortality","NOEL","5","Active ingredient","2.1","AI mg/kg food","1992","U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
"81812","Warfarin","Rattus rattus","Black Rat","Mortality","Mortality","NOEL","5","Active ingredient","2.1","AI mg/kg food","1992","U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
"81812","Warfarin","Rattus norvegicus","Norway Rat","Mortality","Mortality","NR-LETH","18","Formulation","2.87","mg/kg bdwt","1950","Hayes,W.J.,Jr., and T.B. Gaines. Control of Norway Rats with Residual Rodenticide Warfarin. Public Health Rep.65(47): 1537-1555, 1950. ECOREF #152847"
